!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Mononuclear cells
!perturbation	Dexamethasone
!disease	Epilepsy - glucocorticoid dexamethasone (20 mg/m2) - 6 hrs
!end_metadata
KIR2DS5	0.026885
GCA	-0.026874
HSPA1A	-0.026865
NR4A2	-0.026863
WHAMMP2	0.026856
IFI30	-0.026774
FLT3	0.026756
DAB2	0.026752
KIAA0125	0.026707
CABP5	0.026693
GRHL1	0.026541
HIST1H2BK	0.026515
FAM118A	-0.026467
ABLIM3	0.026459
FRMD3	0.026442
SUPV3L1	0.026388
KIR2DS4	0.026352
PRDM1	0.026312
TMEM176A	-0.026267
ABCB4	0.026251
CD93	-0.026237
ARHGAP6	0.026219
HCAR3	-0.026203
C9orf69	-0.026180
KIR2DS3	0.026175
TDRD9	-0.026073
RPH3A	-0.026052
CXorf21	-0.025928
MEST	0.025823
PEAR1	0.025792
BCL6	-0.025789
KLRF1	0.025747
CDC42-IT1	-0.025708
CYP27A1	-0.025694
ARHGEF40	-0.025650
HGD	0.025562
LGALSL	0.025408
GGTA1P	0.025374
MEGF9	-0.025373
IL18RAP	0.025283
IMPA2	-0.025234
SLC7A5P2	-0.025133
BLVRB	-0.025117
TNFSF8	0.025097
F5	-0.024985
PTGDR	0.024921
GAA	-0.024920
ISG20	0.024857
FASLG	0.024797
HIST1H2AM	0.024719
CSF2RB	-0.024707
GP1BA	0.024684
BTBD3	-0.024667
ACRBP	0.024663
HIST1H2BD	0.024651
PTX3	-0.024598
ITGB3	0.024596
TLR2	-0.024590
PDLIM1	0.024585
SNCA	0.024528
VIM	-0.024477
CLEC12B	-0.024462
LINC00853	0.024452
TLR4	-0.024450
CA2	0.024389
SNORA72	-0.024388
SMOX	0.024377
TDRP	0.024360
IFIT1	-0.024345
FGL2	-0.024259
C1QA	0.024123
APOL6	-0.024097
DMTN	0.024029
GRN	-0.024013
ZNF385A	-0.023869
CLU	0.023820
S100Z	-0.023816
FSD1	0.023731
LRRC25	-0.023717
FOSB	-0.023669
LINC00936	-0.023667
MPP1	0.023599
ADRB2	0.023596
FAXDC2	0.023574
KBTBD11	-0.023543
RHOBTB3	0.023522
ALDH8A1	0.023519
S1PR3	-0.023505
OSBPL5	0.023445
NQO2	-0.023424
SOCS3	-0.023414
TIAM1	-0.023339
COLQ	0.023287
BTLA	0.023235
PLEKHF1	0.023147
AMICA1	-0.023139
PBX1	0.023130
TRABD2A	-0.023063
HIST1H2AG	0.023019
RGS18	0.023014
F13A1	0.022988
ENDOD1	0.022981
CPPED1	-0.022976
PATL2	0.022972
PAK1	-0.022952
ASRGL1	-0.022940
AP5B1	-0.022916
MSRB1	-0.022878
HPSE	-0.022839
LY96	-0.022830
PCSK5	-0.022818
C9orf72	-0.022776
LOC646870	0.022711
PRTFDC1	0.022679
TSC22D3	0.022674
LRRN3	-0.022644
SMG1P5	-0.022622
MPEG1	-0.022584
SNORA28	-0.022567
GADD45A	0.022565
ATL1	0.022550
ERP27	0.022548
GRAP2	0.022513
CLDN5	0.022502
SLC6A16	0.022483
FOLR3	-0.022410
MTMR11	-0.022386
G0S2	-0.022355
RRAGD	-0.022348
LMNB1	-0.022323
RGS9	0.022312
EOMES	0.022310
PPP1R14A	0.022295
GNB4	-0.022293
PLXDC2	-0.022283
FHL1	0.022252
AKR1C3	0.022208
TAL1	0.022099
ENKUR	0.022026
TBX21	0.022020
PRO0471	-0.022017
DSC2	-0.022017
SMCO4	-0.021955
APOBEC3A	-0.021942
FAM69A	0.021896
PKHD1L1	0.021868
SLC27A1	-0.021857
SLAMF6	0.021856
SMAP2	0.021846
LOC100128751	0.021835
FKBP1B	0.021813
GRAMD3	0.021798
EPHX2	-0.021772
CTDSPL	0.021610
IL15	-0.021586
ABCB1	0.021566
LOC100134445	-0.021503
GPR34	0.021423
SPX	0.021408
GFI1	0.021396
WEE1	0.021380
YES1	0.021265
TLR8	-0.021255
SUCNR1	0.021208
FLT3LG	-0.021205
FCRLB	0.021193
EIF3C	-0.021154
NR3C2	-0.021148
CYBB	-0.021110
SOCS1	0.021108
FBXO32	0.021092
SNN	0.021089
STAT1	-0.021069
PLA2G12A	0.021039
CD226	0.021021
STON2	0.021018
HIST1H2AJ	0.020977
SNX30	-0.020972
LANCL3	0.020960
NAGK	-0.020955
SGCE	0.020881
CENPW	-0.020870
NPC1	0.020793
LGALS12	0.020786
BCL10	-0.020754
SAMSN1	-0.020752
MYLK	0.020734
KBTBD8	0.020733
PILRA	-0.020733
EIF5A	-0.020716
IFIT3	-0.020707
LINC00877	-0.020706
PTGS2	-0.020680
HNMT	-0.020645
CKAP4	-0.020619
SLA	0.020601
MIR181A2HG	0.020592
SLC24A3	0.020579
KLRB1	0.020578
TRBV25-1	-0.020562
P2RX1	0.020469
SLC43A2	-0.020457
C1orf198	0.020452
NELL2	-0.020418
DPYSL2	-0.020408
USP9Y	0.020407
TFEB	0.020377
VAV3	0.020377
RASA1	0.020375
AHR	-0.020373
KLRC3	0.020351
SMIM3	0.020319
ARRDC4	-0.020298
TCEA3	-0.020294
S1PR5	0.020277
PTPN12	0.020259
SIRPA	-0.020161
ZNF467	-0.020158
PID1	-0.020124
ATP9A	0.020121
LOC284454	-0.020115
TRAPPC3L	0.020100
CCDC144B	-0.020060
LY6G6F	0.020057
SLC37A2	-0.020031
