ID	baseMean	baseMean.untrt	baseMean.C15Dx	C15Dx/untrt	log2(C15Dx/untrt)	pval	padj	untrt_1	untrt_2	C15Dx_1	C15Dx_2	untrt_1_norm	untrt_2_norm	C15Dx_1_norm	C15Dx_2_norm
ENSMUSG00000000103	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000126	0.806793664	0.551690434	1.061896893	1.924805702	0.944712822	1	1	1	0	0	2	1.1	0	0	2.12
ENSMUSG00000000127	552.7706098	565.0822651	540.4589546	0.956425264	-0.064275855	0.634952983	0.953976704	543	510	696	486	599.14	531.03	564.84	516.08
ENSMUSG00000000131	5778.676741	5299.76109	6257.592392	1.180731034	0.239680362	4.52E-05	0.000267893	4788	5106	7772	5846	5282.99	5316.53	6307.34	6207.85
ENSMUSG00000000134	2114.765207	2067.299052	2162.231363	1.045920938	0.064773801	0.400306687	0.728786837	1891	1967	2573	2106	2086.49	2048.1	2088.11	2236.35
ENSMUSG00000000142	20.69469445	26.96304084	14.42634807	0.535041583	-0.902277073	0.098087247	0.251978365	30	20	12	18	33.1	20.82	9.74	19.11
ENSMUSG00000000148	1322.790461	1111.687226	1533.893695	1.3797889	0.464447559	6.23E-09	6.12E-08	994	1082	1841	1482	1096.76	1126.61	1494.06	1573.73
ENSMUSG00000000149	2472.905019	2527.55963	2418.250408	0.956753059	-0.063781486	0.322665733	0.628279041	2311	2406	2920	2323	2549.91	2505.21	2369.71	2466.79
ENSMUSG00000000154	5.085184356	5.20616391	4.964204802	0.953524493	-0.068658098	1	1	0	10	7	4	0	10.41	5.68	4.25
ENSMUSG00000000157	9.649817236	14.46060512	4.839029357	0.334635329	-1.579338327	0.048994093	0.141954443	13	14	8	3	14.34	14.58	6.49	3.19
ENSMUSG00000000159	0.801627636	1.072306825	0.530948447	0.495146011	-1.014074079	0.93739353	1	1	1	0	1	1.1	1.04	0	1.06
ENSMUSG00000000167	131.043566	114.309436	147.7776959	1.292786502	0.37048404	0.061058604	0.170888293	110	103	181	140	121.37	107.25	146.89	148.67
ENSMUSG00000000168	3924.531109	4016.82265	3832.239569	0.95404749	-0.067867013	0.264292877	0.543017045	3728	3765	4650	3664	4113.4	3920.24	3773.69	3890.79
ENSMUSG00000000171	9710.757261	10028.08401	9393.43051	0.936712387	-0.094321952	0.107424696	0.270645632	8996	9729	11852	8634	9926.01	10130.15	9618.44	9168.42
ENSMUSG00000000182	0.983811088	1.561849173	0.405773002	0.259802937	-1.944510355	0.722858895	1	0	3	1	0	0	3.12	0.81	0
ENSMUSG00000000183	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000184	6636.687567	6840.215172	6433.159962	0.940490876	-0.088514146	0.122606216	0.300549388	6244	6522	7854	6114	6889.51	6790.92	6373.88	6492.44
ENSMUSG00000000194	1874.337003	1662.44133	2086.232676	1.254921084	0.327596643	4.55E-06	3.15E-05	1478	1627	2616	1930	1630.8	1694.09	2123	2049.46
ENSMUSG00000000197	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000202	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000204	0.520616391	1.041232782	0	0	#NAME?	0.640544067	0.953976704	0	2	0	0	0	2.08	0	0
ENSMUSG00000000214	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0.275845217	0.551690434	0	0	#NAME?	0.970302822	1	1	0	0	0	1.1	0	0	0
ENSMUSG00000000216	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000223	114.0132625	112.6543647	115.3721603	1.02412508	0.034391928	0.965143259	1	107	103	126	121	118.06	107.25	102.25	128.49
ENSMUSG00000000244	5926.83002	6218.681681	5634.978359	0.906137128	-0.142198701	0.016812223	0.056833902	5610	6000	7007	5258	6189.97	6247.4	5686.5	5583.45
ENSMUSG00000000247	0.54131944	0.551690434	0.530948447	0.962402851	-0.055287178	1	1	1	0	0	1	1.1	0	0	1.06
ENSMUSG00000000248	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000253	13917.19044	14801.70056	13032.68033	0.880485338	-0.183629114	0.001008877	0.004649469	13204	14439	16398	12014	14569.04	15034.36	13307.73	12757.63
ENSMUSG00000000263	0.260308196	0.520616391	0	0	#NAME?	0.970302479	1	0	1	0	0	0	1.04	0	0
ENSMUSG00000000266	6.932771165	7.96461608	5.900926251	0.740892743	-0.432663393	0.694909591	1	5	10	8	5	5.52	10.41	6.49	5.31
ENSMUSG00000000275	6056.611907	4301.847399	7811.376416	1.815819041	0.860620435	1.60E-47	9.84E-46	3870	4162	9505	7448	4270.08	4333.61	7713.74	7909.01
ENSMUSG00000000276	719.3548756	513.9227826	924.7869686	1.799466768	0.847569459	2.87E-18	5.54E-17	438	523	1142	869	483.28	544.56	926.79	922.79
ENSMUSG00000000278	1044.241078	946.000285	1142.481871	1.207697174	0.272258749	0.001640492	0.007240745	839	928	1371	1104	925.74	966.26	1112.63	1172.33
ENSMUSG00000000282	1410.224767	1370.105529	1450.344006	1.05856372	0.082108115	0.332780477	0.641899037	1218	1341	1728	1411	1343.92	1396.29	1402.35	1498.34
ENSMUSG00000000290	1112.89942	1063.930604	1161.868235	1.09205265	0.127042413	0.135920197	0.326484306	965	1021	1407	1113	1064.76	1063.1	1141.85	1181.89
ENSMUSG00000000295	928.3273626	888.5929011	968.061824	1.089432318	0.123576571	0.160362161	0.373077218	801	858	1195	910	883.81	893.38	969.8	966.33
ENSMUSG00000000296	1.535501522	2.665230041	0.405773002	0.152246896	-2.715515275	0.354719106	0.669923264	2	3	1	0	2.21	3.12	0.81	0
ENSMUSG00000000301	116.5603342	141.2959086	91.82475988	0.649875575	-0.621764567	0.003305508	0.013487919	124	140	119	82	136.82	145.77	96.57	87.08
ENSMUSG00000000303	12.6064425	22.1221231	3.090761904	0.13971362	-2.839455425	0.000261896	0.001351426	25	16	5	2	27.58	16.66	4.06	2.12
ENSMUSG00000000305	1.067101859	1.072306825	1.061896893	0.990292021	-0.014074079	1	1	1	1	0	2	1.1	1.04	0	2.12
ENSMUSG00000000308	14.53631098	14.46060512	14.61201685	1.010470636	0.015027398	1	1	13	14	19	13	14.34	14.58	15.42	13.8
ENSMUSG00000000317	8.218335485	10.66092016	5.775750806	0.541768508	-0.884251561	0.324463615	0.630244338	8	12	9	4	8.83	12.49	7.3	4.25
ENSMUSG00000000318	42.31235032	30.54520749	54.07949314	1.770473917	0.82413559	0.020894136	0.068461077	28	29	60	56	30.89	30.2	48.69	59.47
ENSMUSG00000000320	994.2276239	1684.24507	304.2101779	0.180621089	-2.468961749	4.27E-148	1.89E-145	1476	1671	348	307	1628.59	1739.9	282.42	326
ENSMUSG00000000325	552.748983	463.5320041	641.9659619	1.384944203	0.469827854	7.66E-06	5.13E-05	408	458	814	587	450.18	476.88	660.6	623.33
ENSMUSG00000000326	4092.185531	4212.891786	3971.479276	0.942696722	-0.085134384	0.169996374	0.389569864	3889	3971	4878	3752	4291.05	4134.74	3958.72	3984.24
ENSMUSG00000000339	1534.433484	1448.492434	1620.374535	1.118662754	0.161775169	0.034407907	0.105177451	1328	1375	1973	1544	1465.29	1431.7	1601.18	1639.57
ENSMUSG00000000340	1937.276972	1802.695501	2071.858443	1.149311374	0.20076971	0.003515372	0.014211952	1669	1694	2646	1880	1841.54	1763.85	2147.35	1996.37
ENSMUSG00000000346	11605.34374	12207.70427	11002.98321	0.901314692	-0.149897187	0.005331089	0.020671774	10866	11934	13254	10594	11989.34	12426.07	10756.23	11249.74
ENSMUSG00000000355	1691.646799	1492.697964	1890.595635	1.266562748	0.340918553	3.36E-06	2.37E-05	1360	1426	2355	1761	1500.6	1484.8	1911.19	1870
ENSMUSG00000000359	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000365	258.7181281	257.4157861	260.0204701	1.010118587	0.014524674	0.889051109	1	242	238	332	236	267.02	247.81	269.43	250.61
ENSMUSG00000000374	4024.874274	4353.480634	3696.267914	0.849037408	-0.236099975	0.000115964	0.000640036	4007	4116	4468	3547	4421.25	4285.71	3625.99	3766.55
ENSMUSG00000000378	2262.988601	2228.580617	2297.396586	1.030878833	0.043874772	0.515889821	0.855275759	1988	2174	2859	2142	2193.52	2263.64	2320.21	2274.58
ENSMUSG00000000381	6.421620518	4.227079214	8.616161821	2.038325138	1.027384197	0.390451676	0.714520665	2	6	16	4	2.21	6.25	12.98	4.25
ENSMUSG00000000384	5757.064696	6118.399832	5395.72956	0.881885739	-0.181336348	0.036404682	0.110555051	5231	6209	6666	5068	5771.79	6465.01	5409.77	5381.69
ENSMUSG00000000385	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000386	4.492113801	8.5784546	0.405773002	0.04730141	-4.401972986	0.005523508	0.021317046	8	8	1	0	8.83	8.33	0.81	0
ENSMUSG00000000392	4.549043932	5.882150516	3.215937349	0.546728163	-0.8711044	0.496213265	0.837721859	5	6	4	3	5.52	6.25	3.25	3.19
ENSMUSG00000000394	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000399	5645.597345	5418.414259	5872.780431	1.083855931	0.116173002	0.049008425	0.141976169	4887	5229	7262	5511	5392.22	5444.61	5893.45	5852.11
ENSMUSG00000000402	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000409	46.13584342	59.67629368	32.59539316	0.546203377	-0.87248986	0.024754379	0.079612395	44	68	45	27	48.55	70.8	36.52	28.67
ENSMUSG00000000411	7.02643293	8.026764166	6.026101695	0.750751059	-0.413593491	0.695412084	1	7	8	7	6	7.72	8.33	5.68	6.37
ENSMUSG00000000416	1.884305454	3.768610909	0	0	#NAME?	0.069182473	0.189533526	4	3	0	0	4.41	3.12	0	0
ENSMUSG00000000420	10518.76597	10403.04043	10634.4915	1.022248406	0.031745814	0.552570896	0.889903372	9519	9895	13182	9955	10503.08	10303	10697.8	10571.18
ENSMUSG00000000435	0.520616391	1.041232782	0	0	#NAME?	0.640544067	0.953976704	0	2	0	0	0	2.08	0	0
ENSMUSG00000000439	560.0733543	625.5359145	494.6107941	0.790699275	-0.338798993	0.001493016	0.00664629	545	624	566	499	601.34	649.73	459.34	529.89
ENSMUSG00000000440	44.50573597	55.7599549	33.25151705	0.596333284	-0.745809231	0.030064128	0.093775531	52	52	44	29	57.38	54.14	35.71	30.8
ENSMUSG00000000441	5946.317271	7190.533478	4702.101063	0.653929375	-0.612793263	2.52E-25	7.04E-24	6527	6895	5743	4467	7201.77	7179.3	4660.71	4743.49
ENSMUSG00000000486	1912.529495	1720.959737	2104.099254	1.222631308	0.289989416	4.99E-05	0.000293304	1535	1679	2609	1969	1693.69	1748.23	2117.32	2090.87
ENSMUSG00000000489	150.9407507	238.8447556	63.03674586	0.263923508	-1.921808234	1.83E-22	4.52E-21	214	232	86	53	236.12	241.57	69.79	56.28
ENSMUSG00000000530	2.758400243	2.175687693	3.341112793	1.535658267	0.618857207	0.816823843	1	3	1	3	4	3.31	1.04	2.43	4.25
ENSMUSG00000000531	8.217843922	7.443999689	8.991688155	1.207910872	0.272514006	0.786791232	1	5	9	13	7	5.52	9.37	10.55	7.43
ENSMUSG00000000532	580.8072525	321.560109	840.0543961	2.612433485	1.385394305	8.58E-38	4.03E-36	279	322	1013	808	307.84	335.28	822.1	858.01
ENSMUSG00000000538	839.8935954	864.2950903	815.4921005	0.943534343	-0.083853064	0.293748835	0.585862443	773	841	942	816	852.91	875.68	764.48	866.51
ENSMUSG00000000544	0.801627636	1.072306825	0.530948447	0.495146011	-1.014074079	0.93739353	1	1	1	0	1	1.1	1.04	0	1.06
ENSMUSG00000000552	3218.139942	2890.319233	3545.960651	1.226840485	0.294947681	0.000223698	0.001170599	2475	2929	4286	3403	2730.87	3049.77	3478.29	3613.64
ENSMUSG00000000555	732.5508864	911.1271338	553.9746391	0.608010253	-0.717832443	9.62E-11	1.13E-09	789	914	728	487	870.57	951.69	590.81	517.14
ENSMUSG00000000560	0.260308196	0.520616391	0	0	#NAME?	0.970302479	1	0	1	0	0	0	1.04	0	0
ENSMUSG00000000561	5065.070916	5244.320528	4885.821304	0.931640482	-0.102154766	0.102612341	0.261405475	4629	5168	6201	4463	5107.55	5381.09	5032.4	4739.25
ENSMUSG00000000562	102.4906069	146.5331465	58.44806739	0.39887267	-1.325999819	5.92E-09	5.84E-08	125	149	76	52	137.92	155.14	61.68	55.22
ENSMUSG00000000563	16959.56309	16708.03953	17211.08664	1.030108087	0.042795725	0.414138808	0.740121594	15645	15514	21222	16197	17262.39	16153.69	17222.63	17199.54
ENSMUSG00000000567	0.72866892	0.520616391	0.936721449	1.799254624	0.847399366	1	1	0	1	1	1	0	1.04	0.81	1.06
ENSMUSG00000000568	11999.71462	12009.70097	11989.72828	0.998336953	-0.002401266	0.986051186	1	11648	10725	14550	11462	12852.18	11167.22	11807.99	12171.46
ENSMUSG00000000579	688.1768943	618.9854197	757.3683689	1.22356415	0.291089742	0.002694471	0.011213919	552	604	944	705	609.07	628.9	766.1	748.64
ENSMUSG00000000581	2647.828057	2657.378546	2638.277567	0.992812097	-0.0104074	0.931747814	1	2451	2507	3317	2434	2704.39	2610.37	2691.9	2584.66
ENSMUSG00000000594	77.91613113	127.3248458	28.50741647	0.223895158	-2.159104766	1.31E-15	2.14E-14	110	128	31	30	121.37	133.28	25.16	31.86
ENSMUSG00000000600	2814.20137	2655.48202	2972.92072	1.119540896	0.16290723	0.0230172	0.074605743	2524	2426	3740	2741	2784.93	2526.03	3035.18	2910.66
ENSMUSG00000000605	2090.321885	1806.526764	2374.117005	1.314188669	0.394172409	2.06E-08	1.91E-07	1608	1766	2929	2233	1774.24	1838.82	2377.02	2371.22
ENSMUSG00000000606	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000617	29.18680505	18.62553624	39.74807385	2.134063327	1.093602988	0.012550622	0.04380281	13	22	43	42	14.34	22.91	34.9	44.6
ENSMUSG00000000627	0.536153412	1.072306825	0	0	#NAME?	0.637402555	0.953976704	1	1	0	0	1.1	1.04	0	0
ENSMUSG00000000628	1335.346463	1446.728856	1223.964071	0.846021745	-0.24123335	0.002072447	0.008899659	1288	1414	1509	1152	1421.15	1472.3	1224.62	1223.31
ENSMUSG00000000631	4110.082481	4525.065516	3695.099447	0.81658474	-0.292325488	3.06E-06	2.17E-05	4134	4311	4647	3408	4561.38	4488.75	3771.25	3618.94
ENSMUSG00000000632	1.93090353	2.113539607	1.748267453	0.827175156	-0.27373524	1	1	1	3	3	1	1.1	3.12	2.43	1.06
ENSMUSG00000000673	13.60668288	25.21474741	1.998618342	0.079263865	-3.657192868	1.10E-06	8.23E-06	24	23	1	3	26.48	23.95	0.81	3.19
ENSMUSG00000000682	50.14565101	86.30516239	13.98613963	0.162054496	-2.625449045	2.61E-13	3.66E-12	80	81	24	8	88.27	84.34	19.48	8.5
ENSMUSG00000000686	29.26048898	35.60364352	22.91733444	0.643679471	-0.635585637	0.164050138	0.379574866	40	26	29	21	44.14	27.07	23.53	22.3
ENSMUSG00000000690	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000693	242.0924366	313.4554074	170.7294658	0.544669072	-0.876548146	3.60E-09	3.63E-08	303	281	197	171	334.32	292.59	159.87	181.58
ENSMUSG00000000701	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000706	380.492178	542.7971294	218.1872267	0.401968277	-1.314846446	6.78E-26	1.96E-24	496	517	259	213	547.28	538.32	210.19	226.18
ENSMUSG00000000708	1280.177251	1462.183326	1098.171177	0.751048899	-0.413021254	1.37E-05	8.86E-05	1400	1325	1339	1045	1544.73	1379.63	1086.66	1109.68
ENSMUSG00000000711	2582.091975	2848.498258	2315.685692	0.812949661	-0.298762074	5.95E-06	4.05E-05	2570	2748	2785	2233	2835.69	2861.31	2260.16	2371.22
ENSMUSG00000000724	0.275845217	0.551690434	0	0	#NAME?	0.970302822	1	1	0	0	0	1.1	0	0	0
ENSMUSG00000000730	0.275845217	0.551690434	0	0	#NAME?	0.970302822	1	1	0	0	0	1.1	0	0	0
ENSMUSG00000000731	0.275845217	0.551690434	0	0	#NAME?	0.970302822	1	1	0	0	0	1.1	0	0	0
ENSMUSG00000000732	9.004839786	11.73322699	6.276452584	0.534929784	-0.902578561	0.227536938	0.487087464	9	13	5	8	9.93	13.54	4.06	8.5
ENSMUSG00000000738	2653.614494	2446.499852	2860.729137	1.169315066	0.225663709	0.000771529	0.003646206	2182	2387	3508	2707	2407.58	2485.42	2846.9	2874.55
ENSMUSG00000000739	2.097524011	2.727378127	1.467669895	0.538124832	-0.893987214	0.713096299	1	4	1	1	2	4.41	1.04	0.81	2.12
ENSMUSG00000000740	9154.874423	8277.975886	10031.77296	1.211863033	0.277226652	0.06736012	0.185519324	7679	7763	11274	10278	8472.86	8083.09	9149.37	10914.18
ENSMUSG00000000743	5471.440542	5574.97257	5367.908514	0.962858283	-0.054604623	0.389383937	0.713024164	4832	5588	6638	5037	5331.54	5818.41	5387.04	5348.77
ENSMUSG00000000751	8628.203643	8521.266248	8735.141037	1.025098945	0.035763168	0.530629383	0.866351671	7768	8136	10740	8244	8571.06	8471.47	8716	8754.28
ENSMUSG00000000753	5.735741521	7.443999689	4.027483353	0.54103755	-0.886199369	0.427034296	0.757496425	5	9	6	3	5.52	9.37	4.87	3.19
ENSMUSG00000000759	3440.415742	3525.388246	3355.443237	0.951793959	-0.071278797	0.232964349	0.496105674	3176	3406	4035	3236	3504.34	3546.44	3274.59	3436.3
ENSMUSG00000000766	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000776	1553.60423	1672.425758	1434.782701	0.857905168	-0.221109912	0.003357001	0.013667412	1548	1572	1759	1358	1708.03	1636.82	1427.51	1442.06
ENSMUSG00000000782	10.9555541	11.85752316	10.05358505	0.847865521	-0.238092637	0.814281032	1	13	9	13	9	14.34	9.37	10.55	9.56
ENSMUSG00000000787	25813.91313	27307.79913	24320.02713	0.890589059	-0.167168207	0.005207846	0.020261942	25681	25239	30184	22737	28335.92	26279.67	24495.7	24144.35
ENSMUSG00000000791	40.36792792	40.95753531	39.77832052	0.971208844	-0.042146536	0.907429748	1	28	49	47	39	30.89	51.02	38.14	41.41
ENSMUSG00000000792	10.59548692	8.702750771	12.48822306	1.434974227	0.521024825	0.492314221	0.834716834	12	4	19	9	13.24	4.16	15.42	9.56
ENSMUSG00000000794	1.873442898	0	3.746885795	Inf	Inf	0.087704909	0.229621772	0	0	4	4	0	0	3.25	4.25
ENSMUSG00000000804	11502.43562	13456.65599	9548.215255	0.709553344	-0.495016946	3.31E-08	3.00E-07	12826	12256	11608	9112	14151.96	12761.35	9420.43	9676
ENSMUSG00000000805	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000811	693.8779839	720.520396	667.2355719	0.926046751	-0.110843065	0.237864798	0.503959065	653	692	803	643	720.51	720.53	651.67	682.8
ENSMUSG00000000817	15.86990913	23.55967611	8.18014215	0.347209449	-1.526121887	0.010156148	0.036293164	21	23	11	7	23.17	23.95	8.93	7.43
ENSMUSG00000000823	2119.727241	1705.279097	2534.175386	1.486076614	0.571508495	5.14E-16	8.62E-15	1533	1651	3084	2416	1691.48	1719.08	2502.81	2565.54
ENSMUSG00000000826	5556.854841	5619.581558	5494.128125	0.977675663	-0.032572154	0.555160379	0.892689985	4944	5555	6724	5209	5455.12	5784.05	5456.84	5531.42
ENSMUSG00000000827	3268.622571	3644.118848	2893.126295	0.793916559	-0.332940708	2.38E-07	1.95E-06	3311	3491	3597	2700	3653.29	3634.94	2919.13	2867.12
ENSMUSG00000000838	5167.57738	4984.781036	5350.373724	1.073341775	0.102109534	0.084685085	0.223262632	4704	4590	6566	5059	5190.3	4779.26	5328.61	5372.14
ENSMUSG00000000861	5714.08777	6112.684803	5315.490737	0.869583646	-0.201603287	0.000720407	0.003424076	5734	5665	6552	5004	6326.79	5898.58	5317.25	5313.73
ENSMUSG00000000869	16.08820285	17.06368707	15.11271863	0.885665481	-0.175166204	0.749114009	1	13	19	15	17	14.34	19.78	12.17	18.05
ENSMUSG00000000876	920.492966	908.9127297	932.0732023	1.025481514	0.036301485	0.818320966	1	768	932	1105	911	847.4	970.43	896.76	967.39
ENSMUSG00000000881	256.7101369	308.6924271	204.7278467	0.663209813	-0.592462742	4.20E-05	0.000250374	267	310	252	193	294.6	322.78	204.51	204.95
ENSMUSG00000000884	532.7679882	534.7550806	530.7808959	0.992568215	-0.010761839	0.963313153	1	455	545	680	480	502.04	567.47	551.85	509.71
ENSMUSG00000000889	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000901	0.88450472	0.551690434	1.217319007	2.206525493	1.141776415	0.842152294	1	1	0	3	0	1.1	0	2.43	0
ENSMUSG00000000902	2639.939963	2817.184346	2462.695581	0.874169127	-0.194015667	0.003410177	0.013859473	2467	2797	3040	2315	2722.04	2912.33	2467.1	2458.29
ENSMUSG00000000903	1.014885131	1.623997259	0.405773002	0.249860645	-2.000804413	0.68673027	0.993734521	2	1	1	0	2.21	1.04	0.81	0
ENSMUSG00000000915	1014.722935	964.2758597	1065.17001	1.10463204	0.143565879	0.097501646	0.250721966	891	908	1293	1018	983.11	945.44	1049.33	1081.01
ENSMUSG00000000916	1263.111546	1200.113571	1326.109522	1.10498669	0.144028991	0.086300111	0.2268011	1092	1148	1571	1297	1204.89	1195.34	1274.94	1377.28
ENSMUSG00000000934	656.2691999	675.3123497	637.2260501	0.94360195	-0.083749695	0.411362134	0.738751946	639	620	784	601	705.06	645.56	636.25	638.2
ENSMUSG00000000938	1.061935831	1.592923216	0.530948447	0.333317037	-1.585033034	0.683969921	0.992451293	1	2	0	1	1.1	2.08	0	1.06
ENSMUSG00000000942	0.463194697	0.520616391	0.405773002	0.779408811	-0.359547855	1	1	0	1	1	0	0	1.04	0.81	0
ENSMUSG00000000948	669.8252613	660.5567935	679.093729	1.028062591	0.039928103	0.688194492	0.994276684	583	651	844	634	643.27	677.84	684.94	673.24
ENSMUSG00000000957	51.8569532	73.98917092	29.72473547	0.401744405	-1.315650162	2.78E-05	0.000171412	69	69	34	30	76.13	71.85	27.59	31.86
ENSMUSG00000000958	435.1620779	411.3776476	458.9465082	1.115633071	0.157862606	0.26068211	0.538948787	338	432	554	441	372.94	449.81	449.6	468.3
ENSMUSG00000000959	2239.025702	2258.286825	2219.764578	0.982941827	-0.024822058	0.673772712	0.984195515	1989	2230	2686	2128	2194.62	2321.95	2179.81	2259.72
ENSMUSG00000000976	1709.519837	1495.611786	1923.427887	1.286047559	0.362943996	1.02E-06	7.67E-06	1370	1421	2326	1845	1511.63	1479.59	1887.66	1959.2
ENSMUSG00000000982	24.78581354	34.83443479	14.73719229	0.423063913	-1.241052464	0.006935217	0.026032118	32	33	18	14	35.31	34.36	14.61	14.87
ENSMUSG00000000983	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000001014	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000001016	5368.878496	5204.109274	5533.647717	1.063322737	0.088579547	0.145428659	0.344702581	4558	5166	6807	5220	5029.21	5379.01	5524.19	5543.1
ENSMUSG00000001017	7584.179367	7472.208359	7696.150375	1.029969991	0.042602304	0.496677556	0.837869533	6779	7169	9293	7393	7479.82	7464.6	7541.7	7850.6
ENSMUSG00000001018	803.1259232	890.3411945	715.9106518	0.804085733	-0.314578763	0.000571858	0.002764825	807	855	868	685	890.43	890.25	704.42	727.4
ENSMUSG00000001020	12.21144119	20.95659415	3.466288237	0.165403224	-2.595940739	0.000248271	0.001287838	21	18	2	5	23.17	18.74	1.62	5.31
ENSMUSG00000001021	0.520616391	1.041232782	0	0	#NAME?	0.640544067	0.953976704	0	2	0	0	0	2.08	0	0
ENSMUSG00000001023	0	0	0	NA	NA	NA	NA	0	0	0	0	0	0	0	0
ENSMUSG00000001025	30.91980807	33.39688179	28.44273436	0.851658384	-0.231653241	0.655041214	0.966057943	36	26	40	23	39.72	27.07	32.46	24.42
ENSMUSG00000001027	8.92016519	7.506147775	10.33418261	1.376762477	0.461279683	0.57246886	0.910795722	7	7	15	8	7.72	7.29	12.17	8.5
ENSMUSG00000001029	628.3163047	771.2764206	485.3561887	0.629289546	-0.668204118	3.86E-11	4.67E-10	678	763	606	451	748.09	794.46	491.8	478.92
ENSMUSG00000001034	893.8188194	852.080468	935.5571709	1.097968098	0.134836137	0.200649068	0.441636228	715	879	1162	874	788.92	915.24	943.02	928.1
ENSMUSG00000001036	97.43333958	112.3746983	82.49198083	0.734079664	-0.445991458	0.044879221	0.131684582	98	112	96	82	108.13	116.62	77.91	87.08
ENSMUSG00000001039	88.39504581	87.6805673	89.10952431	1.016297306	0.023322507	0.951872887	1	74	90	111	83	81.65	93.71	90.08	88.14
ENSMUSG00000001052	2234.465001	2222.612886	2246.317115	1.010665028	0.015304913	0.814520828	1	1997	2153	2792	2097	2203.45	2241.77	2265.84	2226.8
