!direction	0
!num_genes	500
!diffexp_method	chdir
!cutoff	500
!correction_method	None
!threshold	None
!organism	Homo sapiens
!cell	Macrophages (monocytedifferentiated macrophages)
!perturbation	Dexamethasone
!disease	24 hrs - 0.5 uM
!end_metadata
SH3D19	0.025840
TCAM1P	-0.025747
GPR17	-0.025710
CCL2	-0.025643
SLC5A9	-0.025637
HLA-DQB1	-0.025636
SEMA3D	0.025612
CXorf30	-0.025552
ITPKC	0.025535
MYO18B	0.025473
TMPRSS5	-0.025430
GLUL	0.025427
HIVEP3	-0.025390
SHC3	-0.025389
HSPB2	0.025347
GDA	0.025334
SPESP1	0.025314
KALRN	-0.025301
ELOVL4	0.025286
MRC2	-0.025197
SERPINB5	0.025193
LOC100129112	-0.025088
CASC5	-0.025011
PLA2G4D	0.024979
ACER3	-0.024950
TNFRSF4	-0.024932
FAM174B	0.024855
CD1C	-0.024829
LOC284561	-0.024793
LINC00240	0.024704
MPV17L	0.024653
PAGE2	-0.024646
HIVEP1	-0.024601
CXADR	-0.024547
PRO0471	-0.024545
MUC20	0.024500
THSD7B	-0.024466
F2RL2	-0.024422
CRY1	-0.024415
DKFZP761C1711	0.024327
RHBDL3	0.024306
GATA2	-0.024306
MB21D2	-0.024257
STXBP6	0.024245
SPICE1	0.024234
SPRY1	0.024212
CDC42EP1	-0.024188
PRAMEF5	0.024165
DMBX1	0.024119
P2RX7	-0.024113
NAP1L3	0.024035
CD244	-0.024011
USP53	0.023952
ATP10A	-0.023952
NPNT	0.023929
DDIT4	0.023918
BEND4	-0.023878
MAGI2	0.023830
FBXL22	-0.023775
TUBB1	0.023757
MANSC1	0.023750
SGCG	-0.023710
ATP8B2	0.023693
TAF3	-0.023681
SCRN1	-0.023678
DTX1	-0.023654
WDR66	-0.023617
GADD45A	0.023616
THBS1	0.023612
NAF1	-0.023600
ATP6V0D2	-0.023539
ALMS1P	-0.023435
LNX1	-0.023411
ABCC6P1	0.023366
SHANK3	0.023356
BTNL2	0.023350
LHX2	-0.023323
PGM5P2	-0.023310
JAKMIP1	-0.023282
SH3PXD2B	0.023279
EMID1	-0.023255
KIAA0408	0.023250
FRY	0.023201
FGL2	0.023157
SGIP1	-0.023149
RHOU	-0.023106
PIP5K1A	-0.023093
GYPE	-0.023030
IFIT2	-0.022998
STON2	0.022986
GSTTP2	-0.022953
SEMA4D	-0.022925
OR1S1	-0.022924
SPDYE5	0.022920
LOC284023	0.022916
ANKRD20A9P	-0.022892
WDR87	-0.022877
FLJ42022	-0.022870
BAMBI	-0.022860
CKB	-0.022831
HAUS5	-0.022827
HEPACAM2	0.022786
FZD4	0.022737
CD274	-0.022679
CCNE2	-0.022656
CD70	0.022648
CCDC42B	0.022634
ZNF812	0.022597
RHOJ	-0.022590
SDK1	0.022584
CYP4F2	0.022568
EXOC3L2	0.022545
ADAMTS5	0.022543
LIN7A	0.022499
CLDN1	-0.022490
CAMTA1	-0.022486
MAOA	0.022482
IL1RN	-0.022480
UNC93A	0.022461
JPH1	0.022437
RNU12	0.022422
PRDM12	0.022404
HIST1H2AL	-0.022402
ZYG11A	0.022368
ASRGL1	-0.022321
PRL	0.022314
LOC100132077	-0.022314
HLA-DPA1	-0.022287
KRT23	-0.022263
HOXD8	0.022232
WDR31	-0.022229
CCDC144A	-0.022226
ARHGEF19	0.022176
FOLH1	-0.022151
ANGPTL6	-0.022117
LOC100130540	-0.022095
SNORA12	0.022091
PICK1	0.022070
FAM161B	-0.022070
MYO16	0.022068
NPAS2	0.022040
ACSM2B	-0.022018
GRM2	-0.021984
GRB10	0.021980
LAMC2	0.021971
HLA-DRB3	-0.021943
MGC50722	0.021917
EYA1	0.021915
HBEGF	-0.021897
HLA-DOA	-0.021871
FLRT3	0.021830
MYLK3	0.021805
PTGS1	-0.021805
PTPRO	-0.021764
DNAH10	-0.021748
APLNR	-0.021722
SLC35F1	0.021717
MSMB	0.021699
CXCL2	-0.021698
GJA1	-0.021689
LHFP	0.021686
RBP7	0.021655
CELF4	-0.021651
VNN1	0.021627
FAM65B	0.021610
LRRN1	0.021569
PRKD1	0.021525
PIP5K1B	-0.021468
GFI1B	0.021455
VSTM1	-0.021451
SEPT6	-0.021438
IL21	0.021427
HHIP	-0.021406
CDH16	-0.021406
MCOLN2	-0.021378
LTA	-0.021371
LOC284009	-0.021371
HIST1H4L	-0.021288
NR3C2	-0.021284
PABPC4	0.021159
SORD	-0.021147
ZKSCAN1	-0.021143
C2orf88	0.021130
SYT17	-0.021104
RNF144A	0.021089
LARS	-0.021078
GCLC	0.021073
OR10W1	0.021064
TNFSF13B	-0.021057
LMAN1	-0.021049
TRPC1	-0.021009
SLCO4C1	0.020988
FMOD	-0.020970
DMRTC1	0.020938
KIFC2	0.020925
FCER1A	-0.020880
H2BFXP	-0.020865
STON1	-0.020848
SLAMF1	0.020833
ELANE	0.020810
DMRTA1	0.020801
PLSCR4	0.020799
TIAM2	0.020794
MTX3	-0.020779
ODAM	-0.020779
SEPT4	0.020756
STAMBPL1	-0.020734
PCDH8	0.020682
GNAT2	-0.020670
LOC349160	0.020640
ACAP1	0.020627
ELAVL4	0.020611
SLC46A3	-0.020606
THOP1	-0.020601
HTRA3	-0.020589
RGS16	-0.020582
LINC00461	-0.020555
AQP11	-0.020490
GRB14	0.020477
HOXC6	0.020467
IL1A	-0.020443
GNB5	0.020436
TAF15	-0.020435
B3GAT2	-0.020424
APPL1	-0.020411
ADM	0.020360
RASSF4	-0.020349
SMAD6	-0.020347
NRIP3	-0.020344
KCNE1	0.020317
ENTPD7	-0.020310
GPATCH1	-0.020304
MARCH8	0.020295
FUT7	-0.020271
FBXO36	-0.020251
TSPAN5	0.020230
TAS2R10	-0.020227
C1QTNF2	-0.020208
LINC00312	0.020196
HCG18	-0.020172
HCAR3	-0.020171
FAT2	-0.020158
PCDHB14	-0.020144
SATB1	-0.020114
NR4A1	-0.020101
DDAH1	0.020097
PANK1	-0.020097
NDST4	0.020083
PCDH19	-0.020077
BCL11A	-0.020051
CLEC2A	-0.020049
C3orf52	0.020025
RHOD	-0.020005
HLA-L	-0.020003
LOC399815	-0.020002
HSF2BP	-0.019976
GIPC2	0.019959
ADAMTS6	0.019958
CALCA	-0.019936
PRSS30P	0.019906
SOAT1	0.019902
COL24A1	-0.019885
LYPD3	0.019876
RND1	-0.019874
HSPB7	-0.019860
IGSF10	0.019843
CORO6	0.019827
SMC1A	-0.019810
CUBN	-0.019798
S100A8	0.019787
LOC644339	-0.019778
ELL3	0.019726
HSP90AA2	-0.019725
PPEF1	-0.019708
TCN2	0.019702
CIITA	-0.019693
SORBS1	0.019688
PDE1A	-0.019675
ZEB1	-0.019669
CDHR3	-0.019656
CRB1	-0.019644
LOC644083	-0.019619
CALCOCO2	0.019619
